time_step,met,lp_capacity_unmet,avail_unmet,battery_unmet
479,22,430.0,0.0,483.0
480,21,432.0,0.0,477.0
481,11,424.0,0.0,489.0
482,28,438.0,0.0,469.0
483,11,424.0,0.0,483.0
484,13,420.0,0.0,479.0
485,10,419.0,0.0,478.0
486,9,416.0,0.0,475.0
487,3,413.0,0.0,476.0
488,6,411.0,0.0,476.0
489,5,409.0,0.0,477.0
490,6,409.0,0.0,480.0
491,5,416.0,0.0,486.0
492,8,423.0,0.0,490.0
493,8,434.0,0.0,496.0
494,16,450.0,0.0,497.0
495,17,474.0,0.0,502.0
496,17,487.0,0.0,499.0
497,17,482.0,0.0,502.0
498,26,494.0,0.0,494.0
499,40,501.0,0.0,483.0
500,29,495.0,0.0,489.0
501,22,489.0,0.0,502.0
502,16,499.0,0.0,503.0
503,26,509.0,0.0,497.0
504,25,507.0,0.0,504.0
505,29,521.0,0.0,496.0
506,33,546.0,0.0,488.0
507,29,545.0,0.0,497.0
508,27,550.0,0.0,506.0
509,38,554.0,0.0,498.0
510,32,559.0,0.0,498.0
511,30,554.0,0.0,500.0
512,25,551.0,0.0,510.0
513,19,550.0,0.0,520.0
514,31,580.0,0.0,513.0
515,46,590.0,0.0,491.0
516,33,579.0,0.0,496.0
517,26,571.0,0.0,509.0
518,23,569.0,0.0,509.0
519,27,557.0,0.0,510.0
520,30,556.0,0.0,506.0
521,24,558.0,0.0,514.0
522,32,555.0,0.0,518.0
523,29,550.0,0.0,520.0
524,39,540.0,0.0,510.0
525,22,520.0,0.0,529.0
526,25,516.0,0.0,532.0
527,29,507.0,0.0,532.0
528,31,496.0,0.0,528.0
529,23,479.0,0.0,537.0
530,30,457.0,0.0,542.0
531,32,451.0,0.0,527.0
532,22,447.0,0.0,519.0
533,21,442.0,0.0,509.0
534,17,431.0,0.0,506.0
535,16,416.0,0.0,510.0
536,13,409.0,0.0,512.0
537,15,388.0,0.0,522.0
538,12,380.0,0.0,526.0
539,7,373.0,0.0,536.0
540,10,386.0,0.0,529.0
