time_step,met,lp_capacity_unmet,avail_unmet,battery_unmet
484,8,221.0,0.0,520.0
485,18,223.0,0.0,508.0
486,9,219.0,0.0,506.0
487,5,220.0,0.0,501.0
488,7,222.0,0.0,496.0
489,11,239.0,0.0,472.0
490,10,240.0,0.0,470.0
491,17,229.0,0.0,482.0
492,11,218.0,0.0,501.0
493,7,217.0,0.0,520.0
494,15,233.0,0.0,522.0
495,14,250.0,0.0,537.0
496,22,256.0,0.0,536.0
497,15,249.0,0.0,543.0
498,20,256.0,0.0,546.0
499,35,273.0,0.0,530.0
500,41,262.0,0.0,529.0
501,26,252.0,0.0,542.0
502,25,252.0,0.0,544.0
503,36,237.0,0.0,553.0
504,38,237.0,0.0,545.0
505,49,239.0,0.0,529.0
506,37,245.0,0.0,536.0
507,35,239.0,0.0,544.0
508,63,245.0,0.0,516.0
509,42,227.0,0.0,526.0
510,23,221.0,0.0,546.0
511,32,218.0,0.0,544.0
512,34,215.0,0.0,545.0
513,30,209.0,0.0,549.0
514,25,226.0,0.0,561.0
515,27,241.0,0.0,553.0
516,31,243.0,0.0,547.0
517,34,242.0,0.0,545.0
518,35,237.0,0.0,536.0
519,27,221.0,0.0,541.0
520,28,215.0,0.0,544.0
521,21,228.0,0.0,544.0
522,40,240.0,0.0,525.0
523,22,233.0,0.0,536.0
524,21,233.0,0.0,534.0
525,32,241.0,0.0,515.0
526,9,236.0,0.0,535.0
527,30,233.0,0.0,528.0
528,24,227.0,0.0,526.0
529,31,219.0,0.0,518.0
530,20,207.0,0.0,523.0
531,15,197.0,0.0,529.0
532,15,194.0,0.0,527.0
533,11,183.0,0.0,533.0
534,8,172.0,0.0,539.0
535,7,168.0,0.0,541.0
536,13,166.0,0.0,538.0
537,10,162.0,0.0,536.0
538,7,163.0,0.0,536.0
539,8,159.0,0.0,542.0
540,11,167.0,0.0,539.0
541,13,171.0,0.0,537.0
542,11,171.0,0.0,540.0
543,19,182.0,0.0,526.0
544,14,178.0,0.0,546.0
545,16,187.0,0.0,547.0
546,27,201.0,0.0,541.0
547,21,209.0,0.0,544.0
548,23,205.0,0.0,542.0
549,17,197.0,0.0,556.0
550,23,208.0,0.0,555.0
551,34,221.0,0.0,542.0
552,27,218.0,0.0,548.0
553,21,227.0,0.0,552.0
554,28,241.0,0.0,547.0
555,29,258.0,0.0,542.0
556,23,259.0,0.0,549.0
557,29,276.0,0.0,546.0
558,32,287.0,0.0,534.0
559,25,283.0,0.0,543.0
560,45,287.0,0.0,523.0
561,35,284.0,0.0,530.0
562,20,268.0,0.0,554.0
563,26,268.0,0.0,558.0
564,46,273.0,0.0,538.0
565,46,245.0,0.0,540.0
566,22,233.0,0.0,551.0
567,30,228.0,0.0,555.0
568,31,227.0,0.0,546.0
569,24,227.0,0.0,548.0
570,16,228.0,0.0,550.0
571,30,233.0,0.0,541.0
572,23,240.0,0.0,534.0
573,20,246.0,0.0,533.0
574,28,248.0,0.0,522.0
575,17,241.0,0.0,520.0
576,29,237.0,0.0,515.0
577,18,230.0,0.0,514.0
578,19,211.0,0.0,527.0
579,8,189.0,0.0,543.0
580,17,179.0,0.0,543.0
581,15,168.0,0.0,545.0
582,9,156.0,0.0,550.0
583,4,152.0,0.0,551.0
584,4,144.0,0.0,557.0
585,6,142.0,0.0,557.0
586,5,138.0,0.0,563.0
587,15,143.0,0.0,565.0
588,25,162.0,0.0,560.0
589,17,175.0,0.0,565.0
590,30,182.0,0.0,561.0
591,10,172.0,0.0,581.0
592,23,190.0,0.0,567.0
593,22,188.0,0.0,573.0
594,33,199.0,0.0,562.0
595,27,208.0,0.0,567.0
596,26,212.0,0.0,563.0
597,27,212.0,0.0,567.0
598,22,210.0,0.0,570.0
599,31,225.0,0.0,561.0
600,27,230.0,0.0,566.0
601,39,235.0,0.0,554.0
602,26,259.0,0.0,567.0
603,21,274.0,0.0,573.0
604,32,286.0,0.0,559.0
605,30,298.0,0.0,558.0
606,19,295.0,0.0,570.0
607,30,299.0,0.0,558.0
608,13,281.0,0.0,576.0
609,32,307.0,0.0,551.0
610,16,304.0,0.0,568.0
611,20,326.0,0.0,559.0
612,28,324.0,0.0,552.0
613,31,323.0,0.0,546.0
614,31,318.0,0.0,545.0
615,20,330.0,0.0,557.0
616,25,348.0,0.0,553.0
617,35,343.0,0.0,543.0
618,21,341.0,0.0,549.0
619,31,349.0,0.0,542.0
620,33,350.0,0.0,532.0
621,24,343.0,0.0,535.0
622,35,341.0,0.0,536.0
623,13,322.0,0.0,550.0
624,24,304.0,0.0,549.0
625,26,289.0,0.0,549.0
626,17,277.0,0.0,547.0
627,12,255.0,0.0,564.0
628,7,249.0,0.0,570.0
629,10,251.0,0.0,562.0
630,11,243.0,0.0,560.0
631,15,248.0,0.0,542.0
632,9,252.0,0.0,531.0
633,8,240.0,0.0,537.0
634,12,249.0,0.0,522.0
635,8,247.0,0.0,530.0
636,29,253.0,0.0,533.0
637,14,257.0,0.0,548.0
638,15,258.0,0.0,556.0
639,15,266.0,0.0,562.0
640,22,270.0,0.0,561.0
641,20,280.0,0.0,561.0
642,22,286.0,0.0,560.0
643,28,295.0,0.0,555.0
644,24,320.0,0.0,561.0
645,17,311.0,0.0,574.0
646,22,324.0,0.0,572.0
647,19,330.0,0.0,570.0
648,22,335.0,0.0,571.0
649,30,347.0,0.0,563.0
650,18,347.0,0.0,574.0
651,24,361.0,0.0,570.0
652,27,375.0,0.0,567.0
653,40,381.0,0.0,553.0
654,20,370.0,0.0,569.0
655,34,402.0,0.0,557.0
656,28,401.0,0.0,553.0
657,35,395.0,0.0,555.0
658,25,385.0,0.0,562.0
659,15,387.0,0.0,569.0
660,26,388.0,0.0,566.0
661,19,387.0,0.0,567.0
662,22,400.0,0.0,551.0
663,23,411.0,0.0,550.0
664,40,413.0,0.0,539.0
665,24,432.0,0.0,529.0
666,34,420.0,0.0,535.0
667,19,411.0,0.0,549.0
668,26,418.0,0.0,547.0
669,39,420.0,0.0,531.0
670,23,402.0,0.0,545.0
671,14,381.0,0.0,564.0
672,20,383.0,0.0,565.0
673,11,373.0,0.0,568.0
674,12,375.0,0.0,567.0
675,18,369.0,0.0,566.0
676,12,361.0,0.0,568.0
677,22,351.0,0.0,561.0
678,10,330.0,0.0,572.0
679,15,317.0,0.0,571.0
680,11,310.0,0.0,567.0
681,6,322.0,0.0,576.0
682,12,330.0,0.0,574.0
683,38,351.0,0.0,552.0
684,18,359.0,0.0,559.0
685,26,369.0,0.0,558.0
686,45,403.0,0.0,541.0
687,15,419.0,0.0,541.0
688,19,438.0,0.0,540.0
689,23,450.0,0.0,535.0
690,14,449.0,0.0,545.0
691,17,460.0,0.0,547.0
692,31,469.0,0.0,543.0
693,23,461.0,0.0,552.0
694,20,463.0,0.0,559.0
695,17,468.0,0.0,563.0
696,31,469.0,0.0,560.0
697,16,480.0,0.0,573.0
698,28,492.0,0.0,559.0
699,29,493.0,0.0,560.0
700,23,506.0,0.0,559.0
701,14,526.0,0.0,569.0
702,33,535.0,0.0,553.0
703,23,539.0,0.0,569.0
704,54,550.0,0.0,536.0
705,21,529.0,0.0,561.0
706,29,535.0,0.0,554.0
707,31,532.0,0.0,555.0
708,27,520.0,0.0,564.0
709,29,517.0,0.0,557.0
710,20,509.0,0.0,568.0
711,28,513.0,0.0,558.0
712,19,515.0,0.0,567.0
713,43,532.0,0.0,541.0
714,36,524.0,0.0,549.0
715,21,519.0,0.0,558.0
716,38,518.0,0.0,546.0
717,20,497.0,0.0,563.0
718,29,509.0,0.0,552.0
719,49,512.0,0.0,525.0
720,24,492.0,0.0,541.0
721,31,470.0,0.0,542.0
722,27,456.0,0.0,552.0
723,10,435.0,0.0,570.0
724,14,428.0,0.0,571.0
725,9,421.0,0.0,575.0
726,9,416.0,0.0,574.0
727,11,408.0,0.0,571.0
728,21,401.0,0.0,561.0
729,14,383.0,0.0,567.0
730,10,380.0,0.0,569.0
731,19,393.0,0.0,565.0
732,5,393.0,0.0,585.0
733,18,416.0,0.0,575.0
734,10,429.0,0.0,582.0
735,21,459.0,0.0,572.0
736,16,457.0,0.0,575.0
